function_name,module_name,target_function,return_line
calculate_path_capture_econ_values,BotExpansionOps,calculate_path_capture_econ_values,"-        return BotExpansionOps.calculate_path_capture_econ_values(self, launchPath, turnsLeftInCycle, negativeTiles)"
calculate_target_player,BotTargeting,calculate_target_player,"-        return BotTargeting.calculate_target_player(self)"
check_army_out_of_play_ratio,BotExpansionOps,check_army_out_of_play_ratio,"-        return BotExpansionOps.check_army_out_of_play_ratio(self)"
check_cur_path,BotPathingUtils,check_cur_path,"-        return BotPathingUtils.check_cur_path(self)"
check_defense_hybrid_intercept_moves,BotDefense,check_defense_hybrid_intercept_moves,"-        return BotDefense.check_defense_hybrid_intercept_moves(self, threat, defensePlan, missingDefense, defenseNegatives)"
check_defense_intercept_move,BotDefense,check_defense_intercept_move,"-        return BotDefense.check_defense_intercept_move(self, threat)"
check_fog_risk,BotDefense,check_fog_risk,"-        return BotDefense.check_fog_risk(self)"
check_for_army_movement_scrims,BotCombatOps,check_for_army_movement_scrims,"-        return BotCombatOps.check_for_army_movement_scrims(self, econCutoff)"
check_for_attack_launch_move,BotCombatOps,check_for_attack_launch_move,"-        return BotCombatOps.check_for_attack_launch_move(self, outLaunchPlanNegatives)"
check_for_danger_tile_moves,BotDefense,check_for_danger_tile_moves,"-        return BotDefense.check_for_danger_tile_moves(self)"
check_for_king_kills_and_races,BotCombatOps,check_for_king_kills_and_races,"-        return BotCombatOps.check_for_king_kills_and_races(self, threat, force)"
check_kill_threat_only_defense_interception,BotDefense,check_kill_threat_only_defense_interception,"-        return BotDefense.check_kill_threat_only_defense_interception(self, threat)"
check_launch_against_expansion_plan,BotExpansionOps,check_launch_against_expansion_plan,"-        return BotExpansionOps.check_launch_against_expansion_plan(self, existingPlan, expansionNegatives)"
check_should_be_all_in_losing,BotCombatOps,check_should_be_all_in_losing,"-        return BotCombatOps.check_should_be_all_in_losing(self)"
check_should_defend_economy_based_on_cycle_behavior,BotDefense,check_should_defend_economy_based_on_cycle_behavior,"-        return BotDefense.check_should_defend_economy_based_on_cycle_behavior(self, defenseCriticalTileSet)"
check_should_defend_economy_based_on_large_tiles,BotDefense,check_should_defend_economy_based_on_large_tiles,"-        return BotDefense.check_should_defend_economy_based_on_large_tiles(self)"
check_target_player_just_took_city,BotTargeting,check_target_player_just_took_city,"-        return BotTargeting.check_target_player_just_took_city(self)"
clean_up_path_before_evaluating,BotPathingUtils,clean_up_path_before_evaluating,"-        return BotPathingUtils.clean_up_path_before_evaluating(self)"
clear_fog_armies_around,BotEventHandlers,clear_fog_armies_around,"-        return BotEventHandlers.clear_fog_armies_around(self, enemyGeneral)"
communicate_threat_to_ally,BotComms,communicate_threat_to_ally,"-        return BotComms.communicate_threat_to_ally(self, threat, valueGathered, defensePlan)"
continue_cur_path,BotPathingUtils,continue_cur_path,"-        return BotPathingUtils.continue_cur_path(self, threat, defenseCriticalTileSet)"
continue_killing_target_army,BotCombatOps,continue_killing_target_army,"-        return BotCombatOps.continue_killing_target_army(self)"
convert_bool_map_matrix_to_string,BotSerialization,convert_bool_map_matrix_to_string,"-        return BotSerialization.convert_bool_map_matrix_to_string(self, mapMatrix)"
convert_float_map_matrix_to_string,BotSerialization,convert_float_map_matrix_to_string,"-        return BotSerialization.convert_float_map_matrix_to_string(self, mapMatrix)"
convert_float_tile_2d_array_to_string,BotSerialization,convert_float_tile_2d_array_to_string,"-        return BotSerialization.convert_float_tile_2d_array_to_string(self, rows)"
convert_gather_to_move_list_path,BotGatherOps,convert_gather_to_move_list_path,"-        return BotGatherOps.convert_gather_to_move_list_path(self, gatherNodes, turnsUsed, value, moveOrderPriorityMinFunc)"
convert_int_map_matrix_to_string,BotSerialization,convert_int_map_matrix_to_string,"-        return BotSerialization.convert_int_map_matrix_to_string(self, mapMatrix)"
convert_int_tile_2d_array_to_string,BotSerialization,convert_int_tile_2d_array_to_string,"-        return BotSerialization.convert_int_tile_2d_array_to_string(self, rows)"
convert_string_to_bool_map_matrix,BotSerialization,convert_string_to_bool_map_matrix,"-        return BotSerialization.convert_string_to_bool_map_matrix(self, data)"
convert_string_to_bool_map_matrix_set,BotSerialization,convert_string_to_bool_map_matrix_set,"-        return BotSerialization.convert_string_to_bool_map_matrix_set(self, data)"
convert_string_to_float_map_matrix,BotSerialization,convert_string_to_float_map_matrix,"-        return BotSerialization.convert_string_to_float_map_matrix(self, data)"
convert_string_to_float_tile_2d_array,BotSerialization,convert_string_to_float_tile_2d_array,"-        return BotSerialization.convert_string_to_float_tile_2d_array(self, data)"
convert_string_to_int_map_matrix,BotSerialization,convert_string_to_int_map_matrix,"-        return BotSerialization.convert_string_to_int_map_matrix(self, data)"
convert_string_to_int_tile_2d_array,BotSerialization,convert_string_to_int_tile_2d_array,"-        return BotSerialization.convert_string_to_int_tile_2d_array(self, data)"
convert_string_to_tile_int_dict,BotSerialization,convert_string_to_tile_int_dict,"-        return BotSerialization.convert_string_to_tile_int_dict(self, data)"
convert_string_to_tile_set,BotSerialization,convert_string_to_tile_set,"-        return BotSerialization.convert_string_to_tile_set(self, data)"
convert_tile_int_dict_to_string,BotSerialization,convert_tile_int_dict_to_string,"-        return BotSerialization.convert_tile_int_dict_to_string(self, tiles)"
convert_tile_server_index_to_friendly_x_y,BotSerialization,convert_tile_server_index_to_friendly_x_y,"-        return BotSerialization.convert_tile_server_index_to_friendly_x_y(self, tileIndex)"
convert_tile_set_to_string,BotSerialization,convert_tile_set_to_string,"-        return BotSerialization.convert_tile_set_to_string(self, tiles)"
cooldown_allows,BotComms,cooldown_allows,"-        return BotComms.cooldown_allows(self, detectionKey, cooldown, doNotUpdate)"
count_enemy_territory_near_tile,BotCombatOps,count_enemy_territory_near_tile,"-        return BotCombatOps.count_enemy_territory_near_tile(self, startTile, distance)"
count_enemy_tiles_near_tile,BotCombatOps,count_enemy_tiles_near_tile,"-        return BotCombatOps.count_enemy_tiles_near_tile(self, startTile, distance)"
detect_repetition,BotRepetition,detect_repetition,"-        return BotRepetition.detect_repetition(self, move, turns, numReps)"
detect_repetition_at_all,BotRepetition,detect_repetition_at_all,"-        return BotRepetition.detect_repetition_at_all(self, turns, numReps)"
detect_repetition_tile,BotRepetition,detect_repetition_tile,"-        return BotRepetition.detect_repetition_tile(self, tile, turns, numReps)"
determine_fog_defense_amount_available_for_tiles,BotDefense,determine_fog_defense_amount_available_for_tiles,"-        return BotDefense.determine_fog_defense_amount_available_for_tiles(self, targetTiles, enPlayer, fogDefenseTurns, fogReachTurns)"
determine_should_defend_ally,BotDefense,determine_should_defend_ally,"-        return BotDefense.determine_should_defend_ally(self)"
determine_should_winning_all_in,BotCombatOps,determine_should_winning_all_in,"-        return BotCombatOps.determine_should_winning_all_in(self)"
did_player_just_take_fog_city,BotCityOps,did_player_just_take_fog_city,"-        return BotCityOps.did_player_just_take_fog_city(self, player)"
distance_from_opp,BotPathingUtils,distance_from_opp,"-        return BotPathingUtils.distance_from_opp(self, sourceTile)"
distance_from_target_path,BotPathingUtils,distance_from_target_path,"-        return BotPathingUtils.distance_from_target_path(self, sourceTile)"
droppedMove,BotRepetition,dropped_move,"-        return BotRepetition.dropped_move(self, fromTile, toTile, movedHalf)"
dump_turn_data_to_string,BotRendering,dump_turn_data_to_string,"-        return BotRendering.dump_turn_data_to_string(self)"
ensure_reachability_matrix_built,BotCityOps,ensure_reachability_matrix_built,"-        return BotCityOps.ensure_reachability_matrix_built(self)"
explore_target_player_undiscovered,BotExpansionOps,explore_target_player_undiscovered,"-        return BotExpansionOps.explore_target_player_undiscovered(self, negativeTiles, onlyHuntGeneral, maxTime)"
extend_interspersed_path_moves,BotCombatOps,extend_interspersed_path_moves,"-        return BotCombatOps.extend_interspersed_path_moves(self, paths, move)"
extract_engine_result_paths_and_render_sim_moves,BotCombatOps,extract_engine_result_paths_and_render_sim_moves,"-        return BotCombatOps.extract_engine_result_paths_and_render_sim_moves(self, result)"
find_end_of_turn_scrim_move,BotCombatOps,find_end_of_turn_scrim_move,"-        return BotCombatOps.find_end_of_turn_scrim_move(self, threat, kingKillPath, time_limit)"
find_end_of_turn_sim_result,BotCombatOps,find_end_of_turn_sim_result,"-        return BotCombatOps.find_end_of_turn_sim_result(self, threat, kingKillPath, time_limit)"
find_enemy_city_path,BotTargeting,find_enemy_city_path,"-        return BotTargeting.find_enemy_city_path(self, negativeTiles, force)"
find_flank_defense_move,BotDefense,find_flank_defense_move,"-        return BotDefense.find_flank_defense_move(self, defenseCriticalTileSet, highPriority)"
find_fog_bisection_targets,BotTargeting,find_fog_bisection_targets,"-        return BotTargeting.find_fog_bisection_targets(self)"
find_hacky_path_to_find_target_player_spawn_approx,BotTargeting,find_hacky_path_to_find_target_player_spawn_approx,"-        return BotTargeting.find_hacky_path_to_find_target_player_spawn_approx(self, minSpawnDist)"
find_key_enemy_vision_tiles,BotCombatOps,find_key_enemy_vision_tiles,"-        return BotCombatOps.find_key_enemy_vision_tiles(self)"
find_leaf_move,BotExpansionOps,find_leaf_move,"-        return BotExpansionOps.find_leaf_move(self, allLeaves)"
find_neutral_city_path,BotCityOps,find_neutral_city_path,"-        return BotCityOps.find_neutral_city_path(self)"
find_rapid_city_path,BotCityOps,find_rapid_city_path,"-        return BotCityOps.find_rapid_city_path(self)"
find_sketchiest_fog_flank_from_enemy,BotDefense,find_sketchiest_fog_flank_from_enemy,"-        return BotDefense.find_sketchiest_fog_flank_from_enemy(self)"
find_sketchy_fog_flank_from_enemy_in_play_area,BotDefense,find_sketchy_fog_flank_from_enemy_in_play_area,"-        return BotDefense.find_sketchy_fog_flank_from_enemy_in_play_area(self)"
general_move_safe,BotDefense,general_move_safe,"-        return BotDefense.general_move_safe(self, target, move_half)"
get_2v2_launch_point,BotTargeting,get_2v2_launch_point,"-        return BotTargeting.get_2v2_launch_point(self)"
get_afk_players,BotTargeting,get_afk_players,"-        return BotTargeting.get_afk_players(self)"
get_all_in_move,BotCombatOps,get_all_in_move,"-        return BotCombatOps.get_all_in_move(self, defenseCriticalTileSet)"
get_approximate_fog_risk_deficit,BotDefense,get_approximate_fog_risk_deficit,"-        return BotDefense.get_approximate_fog_risk_deficit(self)"
get_best_defense,BotDefense,get_best_defense,"-        return BotDefense.get_best_defense(self, defendingTile, turns, negativeTileList)"
get_capture_first_tree_move_prio_func,BotGatherOps,get_capture_first_tree_move_prio_func,"-        return BotGatherOps.get_capture_first_tree_move_prio_func(self)"
get_city_contestation_all_in_move,BotCityOps,get_city_contestation_all_in_move,"-        return BotCityOps.get_city_contestation_all_in_move(self, defenseCriticalTileSet)"
get_city_preemptive_defense_move,BotCityOps,get_city_preemptive_defense_move,"-        return BotCityOps.get_city_preemptive_defense_move(self, defenseCriticalTileSet)"
get_danger_paths,BotDefense,get_danger_paths,"-        return BotDefense.get_danger_paths(self, move_half)"
get_danger_tiles,BotDefense,get_danger_tiles,"-        return BotDefense.get_danger_tiles(self, move_half)"
get_defense_path_option_from_options_if_available,BotDefense,get_defense_path_option_from_options_if_available,"-        return BotDefense.get_defense_path_option_from_options_if_available(self, threatInterceptionPlan, threat)"
get_distance_from_board_center,BotPathingUtils,get_distance_from_board_center,"-        return BotPathingUtils.get_distance_from_board_center(self, tile, center_ratio)"
get_enemy_cities_by_priority,BotCityOps,get_enemy_cities_by_priority,"-        return BotCityOps.get_enemy_cities_by_priority(self, cutoffDistanceRatio)"
get_enemy_count_on_path,BotPathingUtils,get_enemy_count_on_path,"-        return BotPathingUtils.get_enemy_count_on_path(self, path)"
get_enemy_probable_attack_path,BotDefense,get_enemy_probable_attack_path,"-        return BotDefense.get_enemy_probable_attack_path(self, enemyPlayer)"
get_euclid_shortest_from_tile_towards_target,BotPathingUtils,get_euclid_shortest_from_tile_towards_target,"-        return BotPathingUtils.get_euclid_shortest_from_tile_towards_target(self, sourceTile, towardsTile)"
get_expansion_weight_matrix,BotExpansionOps,get_expansion_weight_matrix,"-        return BotExpansionOps.get_expansion_weight_matrix(self, copy, mult)"
get_first_25_expansion_distance_priority_map,BotExpansionOps,get_first_25_expansion_distance_priority_map,"-        return BotExpansionOps.get_first_25_expansion_distance_priority_map(self)"
get_first_path_move,BotPathingUtils,get_first_path_move,"-        return BotPathingUtils.get_first_path_move(self, path)"
get_gather_mst,BotGatherOps,get_gather_mst,"-        return BotGatherOps.get_gather_mst(self, tile, fromTile, fromMap, turn, searchingPlayer)"
get_gather_tiebreak_matrix,BotGatherOps,get_gather_tiebreak_matrix,"-        return BotGatherOps.get_gather_tiebreak_matrix(self)"
get_general_move_blocking_tiles,BotDefense,get_general_move_blocking_tiles,"-        return BotDefense.get_general_move_blocking_tiles(self, target, move_half)"
get_kill_race_chance,BotCombatOps,get_kill_race_chance,"-        return BotCombatOps.get_kill_race_chance(self, generalHuntPath, enGenProbabilityCutoff, turnsToDeath, cutoffKillArmy, againstPlayer)"
get_largest_tiles_as_armies,BotCombatOps,get_largest_tiles_as_armies,"-        return BotCombatOps.get_largest_tiles_as_armies(self, player, limit)"
get_max_explorable_undiscovered_tile,BotTargeting,get_max_explorable_undiscovered_tile,"-        return BotTargeting.get_max_explorable_undiscovered_tile(self, minSpawnDist)"
get_median_tile_value,BotTargeting,get_median_tile_value,"-        return BotTargeting.get_median_tile_value(self, percentagePoint, player)"
get_move_if_afk_player_situation,BotTargeting,get_move_if_afk_player_situation,"-        return BotTargeting.get_move_if_afk_player_situation(self)"
get_n_closest_team_tiles_near,BotStateQueries,get_n_closest_team_tiles_near,"-        return BotStateQueries.get_n_closest_team_tiles_near(self, nearTiles, player, distance, limit, includeNeutral)"
get_number_of_captures_in_gather_tree,BotGatherOps,get_number_of_captures_in_gather_tree,"-        return BotGatherOps.get_number_of_captures_in_gather_tree(self, gatherNodes, asPlayer)"
get_opponent_cycle_stats,BotTimings,get_opponent_cycle_stats,"-        return BotTimings.get_opponent_cycle_stats(self)"
get_optimal_city_or_general_plan_move,BotExpansionOps,get_optimal_city_or_general_plan_move,"-        return BotExpansionOps.get_optimal_city_or_general_plan_move(self, timeLimit)"
get_path_subsegment_starting_from_last_move,BotPathingUtils,get_path_subsegment_starting_from_last_move,"-        return BotPathingUtils.get_path_subsegment_starting_from_last_move(self, launchPath)"
get_path_subsegment_to_closest_enemy_team_territory,BotPathingUtils,get_path_subsegment_to_closest_enemy_team_territory,"-        return BotPathingUtils.get_path_subsegment_to_closest_enemy_team_territory(self, path)"
get_path_to_target_player,BotTargeting,get_path_to_target_player,"-        return BotTargeting.get_path_to_target_player(self, isAllIn, cutLength)"
get_player_army_amount_on_path,BotStateQueries,get_player_army_amount_on_path,"-        return BotStateQueries.get_player_army_amount_on_path(self, path, player, startIdx, endIdx)"
get_potential_threat_movement_negatives,BotDefense,get_potential_threat_movement_negatives,"-        return BotDefense.get_potential_threat_movement_negatives(self, targetTile)"
get_predicted_target_player_general_location,BotTargeting,get_predicted_target_player_general_location,"-        return BotTargeting.get_predicted_target_player_general_location(self, skipDiscoveredAsNeutralFilter)"
get_queued_all_chat_messages,BotComms,get_queued_all_chat_messages,"-        return BotComms.get_queued_all_chat_messages(self)"
get_queued_teammate_messages,BotComms,get_queued_teammate_messages,"-        return BotComms.get_queued_teammate_messages(self)"
get_queued_tile_pings,BotComms,get_queued_tile_pings,"-        return BotComms.get_queued_tile_pings(self)"
get_quick_kill_on_enemy_cities,BotCityOps,get_quick_kill_on_enemy_cities,"-        return BotCityOps.get_quick_kill_on_enemy_cities(self, defenseCriticalTileSet)"
get_remaining_move_time,BotTimings,get_remaining_move_time,"-        return BotTimings.get_remaining_move_time(self)"
get_safe_per_tile_bfs_depth,BotTargeting,get_safe_per_tile_bfs_depth,"-        return BotTargeting.get_safe_per_tile_bfs_depth(self)"
get_scrim_cache_key,BotCombatOps,get_scrim_cache_key,"-        return BotCombatOps.get_scrim_cache_key(self, friendlyArmies, enemyArmies)"
get_scrim_cached,BotCombatOps,get_scrim_cached,"-        return BotCombatOps.get_scrim_cached(self, friendlyArmies, enemyArmies)"
get_target_army_inc_adjacent_enemy,BotStateQueries,get_target_army_inc_adjacent_enemy,"-        return BotStateQueries.get_target_army_inc_adjacent_enemy(self, tile)"
get_threat_killer_move,BotDefense,get_threat_killer_move,"-        return BotDefense.get_threat_killer_move(self, threat, searchTurns, negativeTiles)"
get_tile_by_tile_index,BotSerialization,get_tile_by_tile_index,"-        return BotSerialization.get_tile_by_tile_index(self, tileIndex)"
get_timings,BotTimings,get_timings,"-        return BotTimings.get_timings(self)"
get_timings_old,BotTimings,get_timings_old,"-        return BotTimings.get_timings_old(self)"
get_tree_move_non_city_leaf_count,BotGatherOps,get_tree_move_non_city_leaf_count,"-        return BotGatherOps.get_tree_move_non_city_leaf_count(self, gathers)"
get_undiscovered_count_on_path,BotPathingUtils,get_undiscovered_count_on_path,"-        return BotPathingUtils.get_undiscovered_count_on_path(self, path)"
get_unexpandable_ratio,BotExpansionOps,get_unexpandable_ratio,"-        return BotExpansionOps.get_unexpandable_ratio(self)"
handle_army_moved,BotEventHandlers,handle_army_moved,"-        return BotEventHandlers.handle_army_moved(self, army)"
handle_bot_chat,BotComms,handle_bot_chat,"-        return BotComms.handle_bot_chat(self, chatUpdate)"
handle_chat_message,BotComms,handle_chat_message,"-        return BotComms.handle_chat_message(self, chatUpdate)"
handle_city_found,BotEventHandlers,handle_city_found,"-        return BotEventHandlers.handle_city_found(self, tile)"
handle_human_chat,BotComms,handle_human_chat,"-        return BotComms.handle_human_chat(self, chatUpdate)"
handle_player_captures,BotEventHandlers,handle_player_captures,"-        return BotEventHandlers.handle_player_captures(self, capturee, capturer)"
handle_tile_captures,BotEventHandlers,handle_tile_captures,"-        return BotEventHandlers.handle_tile_captures(self, tile)"
handle_tile_deltas,BotEventHandlers,handle_tile_deltas,"-        return BotEventHandlers.handle_tile_deltas(self, tile)"
handle_tile_discovered,BotEventHandlers,handle_tile_discovered,"-        return BotEventHandlers.handle_tile_discovered(self, tile)"
handle_tile_vision_change,BotEventHandlers,handle_tile_vision_change,"-        return BotEventHandlers.handle_tile_vision_change(self, tile)"
increment_attack_counts,BotTargeting,increment_attack_counts,"-        return BotTargeting.increment_attack_counts(self, tile)"
initialize_logging,BotLifecycle,initialize_logging,"-        return BotLifecycle.initialize_logging(self)"
is_2v2_teammate_still_alive,BotComms,is_2v2_teammate_still_alive,"-        return BotComms.is_2v2_teammate_still_alive(self)"
is_all_in,BotStateQueries,is_all_in,"-        return BotStateQueries.is_all_in(self)"
is_ffa_situation,BotTargeting,is_ffa_situation,"-        return BotTargeting.is_ffa_situation(self)"
is_move_safe_against_threats,BotDefense,is_move_safe_against_threats,"-        return BotDefense.is_move_safe_against_threats(self, move)"
is_move_safe_valid,BotPathingUtils,is_move_safe_valid,"-        return BotPathingUtils.is_move_safe_valid(self, move, allowNonKill)"
is_move_towards_enemy,BotPathingUtils,is_move_towards_enemy,"-        return BotPathingUtils.is_move_towards_enemy(self, move)"
is_path_moving_mostly_away,BotPathingUtils,is_path_moving_mostly_away,"-        return BotPathingUtils.is_path_moving_mostly_away(self, path, bMap)"
is_player_aggressive,BotTimings,is_player_aggressive,"-        return BotTimings.is_player_aggressive(self, player, turnPeriod)"
is_player_spawn_cramped,BotTargeting,is_player_spawn_cramped,"-        return BotTargeting.is_player_spawn_cramped(self, spawnDist)"
is_still_ffa_and_non_dominant,BotTargeting,is_still_ffa_and_non_dominant,"-        return BotTargeting.is_still_ffa_and_non_dominant(self)"
is_tile_in_range_from,BotPathingUtils,is_tile_in_range_from,"-        return BotPathingUtils.is_tile_in_range_from(self, source, target, maxDist, minDist)"
just_moved,BotCombatOps,just_moved,"-        return BotCombatOps.just_moved(self, tile)"
kill_enemy_path,BotCombatOps,kill_enemy_path,"-        return BotCombatOps.kill_enemy_path(self, threatPath, allowGeneral)"
kill_enemy_paths,BotCombatOps,kill_enemy_paths,"-        return BotCombatOps.kill_enemy_paths(self, threatPaths, allowGeneral)"
kill_threat,BotCombatOps,kill_threat,"-        return BotCombatOps.kill_threat(self, threat, allowGeneral)"
look_for_ffa_turtle_move,BotExpansionOps,look_for_ffa_turtle_move,"-        return BotExpansionOps.look_for_ffa_turtle_move(self)"
make_first_25_move,BotExpansionOps,make_first_25_move,"-        return BotExpansionOps.make_first_25_move(self)"
make_second_25_move,BotExpansionOps,make_second_25_move,"-        return BotExpansionOps.make_second_25_move(self)"
mark_tile,BotRendering,mark_tile,"-        return BotRendering.mark_tile(self, tile, alpha)"
move_half_on_repetition,BotRepetition,move_half_on_repetition,"-        return BotRepetition.move_half_on_repetition(self, move, repetitionTurns, repCount)"
notify_chat_message,BotComms,notify_chat_message,"-        return BotComms.notify_chat_message(self, chatUpdate)"
notify_tile_ping,BotComms,notify_tile_ping,"-        return BotComms.notify_tile_ping(self, pingedTile)"
parse_bool,BotStateQueries,parse_bool,"-        return BotStateQueries.parse_bool(self, boolStr)"
parse_tile_str,BotStateQueries,parse_tile_str,"-        return BotStateQueries.parse_tile_str(self, tileStr)"
prep_view_info_for_render,BotRendering,prep_view_info_for_render,"-        return BotRendering.prep_view_info_for_render(self, move)"
prune_timing_split_if_necessary,BotTimings,prune_timing_split_if_necessary,"-        return BotTimings.prune_timing_split_if_necessary(self)"
reevaluate_after_player_capture,BotEventHandlers,reevaluate_after_player_capture,"-        return BotEventHandlers.reevaluate_after_player_capture(self)"
render_intercept_plan,BotRendering,render_intercept_plan,"-        return BotRendering.render_intercept_plan(self, plan, colorIndex)"
send_2v2_tip_to_ally,BotComms,send_2v2_tip_to_ally,"-        return BotComms.send_2v2_tip_to_ally(self)"
send_all_chat_communication,BotComms,send_all_chat_communication,"-        return BotComms.send_all_chat_communication(self, message)"
send_teammate_communication,BotComms,send_teammate_communication,"-        return BotComms.send_teammate_communication(self, message, pingTile, cooldown, detectOnMessageAlone, detectionKey)"
send_teammate_path_ping,BotComms,send_teammate_path_ping,"-        return BotComms.send_teammate_path_ping(self, path, cooldown, cooldownKey)"
send_teammate_tile_ping,BotComms,send_teammate_tile_ping,"-        return BotComms.send_teammate_tile_ping(self, pingTile, cooldown, cooldownKey)"
set_all_in_cycle_to_hit_with_current_timings,BotTimings,set_all_in_cycle_to_hit_with_current_timings,"-        return BotTimings.set_all_in_cycle_to_hit_with_current_timings(self, cycle, bufferTurnsEndOfCycle)"
set_defensive_blocks_against,BotDefense,set_defensive_blocks_against,"-        return BotDefense.set_defensive_blocks_against(self, threat)"
should_abandon_king_defense,BotDefense,should_abandon_king_defense,"-        return BotDefense.should_abandon_king_defense(self)"
should_bypass_army_danger_due_to_last_move_turn,BotDefense,should_bypass_army_danger_due_to_last_move_turn,"-        return BotDefense.should_bypass_army_danger_due_to_last_move_turn(self, tile)"
should_defend_economy,BotDefense,should_defend_economy,"-        return BotDefense.should_defend_economy(self, defenseTiles)"
should_force_gather_to_enemy_tiles,BotDefense,should_force_gather_to_enemy_tiles,"-        return BotDefense.should_force_gather_to_enemy_tiles(self)"
should_kill,BotCombatOps,should_kill,"-        return BotCombatOps.should_kill(self, tile)"
should_kill_path_move_half,BotCombatOps,should_kill_path_move_half,"-        return BotCombatOps.should_kill_path_move_half(self, threatKill, additionalArmy)"
should_proactively_take_cities,BotCityOps,should_proactively_take_cities,"-        return BotCityOps.should_proactively_take_cities(self)"
should_rapid_capture_neutral_cities,BotCityOps,should_rapid_capture_neutral_cities,"-        return BotCityOps.should_rapid_capture_neutral_cities(self)"
str_tiles,BotStateQueries,str_tiles,"-        return BotStateQueries.str_tiles(self, tiles)"
sum_enemy_army_near_tile,BotCombatOps,sum_enemy_army_near_tile,"-        return BotCombatOps.sum_enemy_army_near_tile(self, startTile, distance)"
sum_friendly_army_near_or_on_tiles,BotCombatOps,sum_friendly_army_near_or_on_tiles,"-        return BotCombatOps.sum_friendly_army_near_or_on_tiles(self, tiles, distance, player)"
sum_friendly_army_near_tile,BotCombatOps,sum_friendly_army_near_tile,"-        return BotCombatOps.sum_friendly_army_near_tile(self, tile, distance, player)"
sum_player_army_near_tile,BotCombatOps,sum_player_army_near_tile,"-        return BotCombatOps.sum_player_army_near_tile(self, tile, distance, player)"
sum_player_standing_army_near_or_on_tiles,BotCombatOps,sum_player_standing_army_near_or_on_tiles,"-        return BotCombatOps.sum_player_standing_army_near_or_on_tiles(self, tiles, distance, player)"
timing_cycle_ended,BotTimings,timing_cycle_ended,"-        return BotTimings.timing_cycle_ended(self)"
timing_expand,BotExpansionOps,timing_expand,"-        return BotExpansionOps.timing_expand(self)"
